año,kilometraje,cilindraje,marca,combustible,tipo_transmision,traccion,uso,zona,falla_frenos,falla_motor,falla_llantas,falla_direccion,falla_suspension,falla_luces,falla_espejos,resultado
2013,135294,1000,Kia,diesel,manual,4x2,particular,urbano,0,1,1,1,1,0,1,1
2017,76527,1400,Hyundai,gas,manual,4x4,particular,urbano,0,1,1,0,0,1,0,1
2021,23847,1600,Renault,gasolina,manual,4x2,particular,urbano,0,0,0,0,0,0,0,0
2021,66844,1600,Mazda,gasolina,manual,4x2,publico,urbano,0,0,0,0,0,0,0,0
2006,432138,1400,Ford,diesel,manual,4x2,publico,urbano,1,1,0,0,1,0,1,1
2006,215070,1800,Toyota,gasolina,manual,4x2,particular,rural,0,0,0,1,1,1,0,0
2005,363027,2000,Mazda,gasolina,manual,4x2,particular,urbano,1,1,1,1,0,0,0,1
2005,450000,1800,Hyundai,gasolina,manual,4x2,publico,rural,1,1,1,1,1,1,1,1
2010,294583,1200,Kia,gasolina,automatica,4x2,particular,rural,1,1,1,0,1,1,1,1
2004,225794,1600,Renault,gasolina,automatica,4x4,particular,urbano,0,1,0,1,0,1,0,1
2017,77646,1200,Kia,diesel,automatica,4x2,particular,urbano,1,0,0,1,1,0,0,0
2022,66408,2400,Peugeot,gasolina,manual,4x2,publico,rural,0,0,0,0,1,0,0,0
2022,36626,1200,Renault,gasolina,automatica,4x2,particular,rural,0,0,0,0,1,0,0,1
1998,308436,1500,Kia,gasolina,manual,4x2,particular,urbano,1,1,0,1,1,0,1,1
2000,384701,1600,Renault,gasolina,manual,4x4,particular,urbano,1,0,0,1,0,1,0,0
2002,204061,2000,Nissan,gasolina,automatica,4x2,particular,rural,1,0,1,1,1,1,0,1
2012,183179,2000,Hyundai,gasolina,automatica,4x2,particular,rural,1,0,0,1,1,0,0,1
2006,325449,2000,Mitsubishi,diesel,manual,4x2,publico,rural,1,1,1,1,1,0,0,1
2017,94837,1200,Fiat,diesel,manual,4x4,particular,rural,1,0,1,0,0,0,0,1
