placa,tipo_vehiculo,marca,modelo,año,kilometraje,combustible,fecha_ultima_revision,tiempo_desde_revision,falla
RQI872,moto,Bajaj,GS150,2016,37152,gasolina,2021-03-20,62,0
IOR346,carro,Kia,Spark,2016,152002,gasolina,2024-11-02,18,0
LCF972,moto,AKT,GS150,2010,45665,gasolina,2024-12-29,16,0
EKZ808,carro,Mazda,Spark,2023,126543,gasolina,2021-12-17,53,0
HZF871,bus,Hino,Sprinter,2001,190722,diésel,2024-01-10,28,1
DNY316,camioneta,Ford,Frontier,2020,107238,diésel,2022-09-29,43,0
GCD325,carro,Chevrolet,Tucson,2019,106431,diésel,2022-06-26,46,1
MCS009,moto,Bajaj,TTX,2019,56512,gasolina,2022-07-03,46,1
QZZ079,moto,Honda,CB190,2024,37738,gasolina,2022-10-02,43,1
CEI423,carro,Hyundai,Spark,2023,500,gasolina,2021-09-19,56,0
RBL902,camioneta,Ford,Hilux,2010,103318,diésel,2023-01-20,39,0
FCP372,carro,Toyota,Sportage,2019,103988,gasolina,2024-12-10,16,0
CJG293,camioneta,Mitsubishi,Ranger,2022,110940,diésel,2021-07-23,58,0
NYQ948,camioneta,Mitsubishi,Frontier,2015,128248,gasolina,2024-01-22,27,1
VLD998,carro,Honda,Tucson,2021,89467,gasolina,2023-08-10,33,0
KBX581,moto,AKT,TTX,2022,11299,gasolina,2024-11-02,18,0
OBG150,moto,Bajaj,CB190,2012,57656,gasolina,2021-06-15,59,0
VRK735,carro,Kia,Sportage,2019,59697,gasolina,2023-12-21,28,0
LEE673,moto,Bajaj,FZ25,2012,29968,gasolina,2023-11-16,29,0
OSR879,carro,Hyundai,Corolla,2008,100683,gasolina,2023-01-09,40,0
MXA238,carro,Mazda,Spark,2014,54393,gasolina,2024-12-10,16,1
ZXG432,carro,Kia,Tucson,2014,89161,eléctrico,2022-11-24,41,1
OWI261,carro,Ford,Logan,2015,50047,gasolina,2021-01-24,64,1
JRF133,moto,Suzuki,TTX,2017,36249,gasolina,2024-05-26,23,0
EQB153,carro,Toyota,Tucson,2007,66927,gasolina,2022-01-11,52,1
XWY987,carro,Renault,Sportage,2005,63831,diésel,2024-08-22,20,0
OUU818,moto,Suzuki,FZ25,2020,23670,gasolina,2022-02-24,50,0
OEQ574,moto,AKT,GS150,2010,39097,gasolina,2021-03-31,61,1
CJS459,moto,Honda,TTX,2010,42426,gasolina,2022-09-25,43,0
